Cliente,Recencia,Frecuencia,Monto,Sexo,GSE,Edad
1843,1,9,231.258,MAS,C3,63
1844,1,9,214.45,MAS,C3,65
1845,9,1,6.057,FEM,E,62
1846,2,4,102.636,FEM,ABC1,62
1847,1,9,216.408,MAS,D,59
1848,1,8,80.491,FEM,D,62
1849,1,2,45.1,MAS,D,66
1850,1,2,82.052,MAS,,66
1851,3,4,46.528,FEM,E,67
1852,2,7,245.32,FEM,C3,62
1853,4,3,9.345,MAS,D,62
1854,1,4,44.311,MAS,C3,60
1855,4,3,18.805,FEM,,67
1856,4,5,130.845,MAS,C3,66
1857,10,1,9.983,MAS,D,65
1858,12,1,15.878,MAS,C3,64
1859,10,2,15.25,FEM,C3,63
1860,9,2,9.048,FEM,C3,63
1861,9,1,3.466,MAS,E,68
1862,3,7,116.191,FEM,E,62
1863,1,9,199.311,FEM,ABC1,59
1864,2,2,16.824,FEM,E,62
1865,1,12,518.277,MAS,D,64
1866,1,12,500.905,MAS,E,64
1867,1,4,86.584,MAS,C3,63
1868,1,8,119.208,FEM,E,67
1869,1,10,156.536,MAS,C3,66
1870,3,2,24.392,MAS,ABC1,64
1871,1,6,70.788,FEM,D,69
1872,2,1,6.489,FEM,D,67
1873,1,5,45.355,MAS,ABC1,61
1874,2,7,92.088,FEM,D,69
1875,1,12,1080.903,MAS,ABC1,58
1876,1,10,233.725,MAS,C3,63
1877,1,8,47.698,MAS,D,65
1878,1,5,73.786,MAS,ABC1,65
1879,2,1,20.822,FEM,ABC1,62
1880,3,3,34.745,MAS,D,65
1881,1,8,102.487,FEM,C3,64
1882,2,8,139.855,FEM,C3,64
1883,8,2,6.529,FEM,E,67
1884,9,1,12.597,FEM,D,63
1885,6,5,130.127,MAS,C2,67
1886,8,1,1.008,,,
1887,1,8,93.685,FEM,E,61
1888,5,4,58.468,FEM,C2,66
1889,11,1,4.207,FEM,C3,64
1890,1,12,714.301,FEM,C3,64
1891,1,11,327.163,FEM,C3,63
1892,1,2,8.413,MAS,D,66
1893,7,1,9.322,FEM,E,64
1894,1,8,638.111,MAS,ABC1,65
1895,1,2,14.303,FEM,C3,67
1896,5,4,75.421,FEM,E,66
1897,1,7,179.687,FEM,C2,60
1898,1,7,246.507,FEM,C3,64
1899,1,10,367.291,FEM,C3,65
1900,2,5,74.011,FEM,D,65
1901,1,1,6.714,MAS,E,66
1902,2,9,69.013,FEM,C3,67
1903,3,8,129.242,FEM,C3,64
1904,3,3,24.602,FEM,D,69
1905,2,3,25.845,FEM,ABC1,66
1906,1,2,231.867,FEM,ABC1,61
1907,1,3,18.131,FEM,C3,68
1908,1,7,76.853,FEM,E,67
1909,2,3,18.071,FEM,D,69
1910,1,12,838.413,FEM,D,66
1911,1,12,211.616,MAS,D,59
1912,1,4,27.037,MAS,D,67
1913,1,2,16.22,MAS,D,64
1914,8,2,43.359,FEM,C3,64
1915,12,1,2.664,MAS,D,63
1916,1,9,342.076,FEM,ABC1,60
1917,1,4,36.645,MAS,ABC1,62
1918,1,12,1391.482,MAS,C2,61
1919,1,8,114.638,FEM,,70
1920,1,3,45.113,FEM,E,62
1921,1,4,56.658,FEM,C3,73
1922,1,4,12.649,MAS,D,69
1923,10,1,5.647,MAS,E,64
1924,2,2,6.782,MAS,D,63
1925,8,4,95.762,FEM,,68
1926,1,4,56.507,FEM,ABC1,63
1927,1,4,48.976,MAS,E,61
1928,2,2,21.273,MAS,C3,59
1929,1,8,68.711,MAS,E,63
1930,10,2,20.513,FEM,C3,62
1931,1,11,818.038,MAS,ABC1,62
1932,1,1,9.561,FEM,D,66
1933,11,1,23.731,FEM,ABC1,66
1934,1,9,201.748,MAS,C3,62
1935,1,11,469.495,FEM,ABC1,63
1936,1,1,35.023,FEM,D,60
1937,1,9,231.165,FEM,C2,64
1938,2,3,44.376,FEM,C3,61
1939,1,12,875.376,MAS,ABC1,64
1940,1,11,151.371,FEM,E,59
1941,1,5,34.174,FEM,D,65
1942,2,10,106.617,MAS,ABC1,64
1943,1,11,135.915,FEM,D,62
1944,1,4,53.865,FEM,,66
1945,2,9,100.229,MAS,C3,62
1946,8,2,44.815,FEM,C3,65
1947,12,1,5.269,FEM,D,63
1948,1,1,1.38,MAS,D,64
1949,1,11,215.823,FEM,C3,66
1950,1,1,7.37,FEM,C3,64
1951,1,9,97.739,FEM,C3,62
1952,1,12,508.931,FEM,C3,63
1953,12,1,6.903,FEM,D,66
1954,1,7,102.606,MAS,C3,63
1955,1,11,64.529,MAS,C3,65
1956,6,2,42.802,FEM,C3,63
1957,2,1,9.135,FEM,D,64
1958,2,2,64.632,FEM,E,60
1959,5,2,6.866,MAS,C3,64
1960,1,1,5.193,FEM,,64
1961,1,6,34.127,FEM,C3,63
1962,1,7,122.415,FEM,E,64
1963,7,1,2.608,FEM,D,64
1964,1,4,41.403,MAS,C2,64
1965,2,2,14.388,MAS,C3,64
1966,2,1,3.773,FEM,D,64
1967,1,12,327.782,FEM,D,61
1968,3,1,89.347,FEM,C2,67
1969,1,11,212.13,FEM,C3,61
1970,6,1,16.566,MAS,C3,64
1971,1,9,180.484,MAS,D,61
1972,12,1,1.748,FEM,D,67
1973,1,3,14.697,FEM,D,66
1974,1,9,10.303,MAS,D,65
1975,1,9,138.545,FEM,E,62
1976,1,9,130.309,FEM,D,63
1977,1,5,90.755,MAS,C3,62
1978,2,9,321.55,FEM,C3,63
1979,9,2,23.733,MAS,ABC1,62
1980,4,6,257.339,MAS,C2,63
1981,1,7,141.344,FEM,D,62
1982,2,4,41.872,MAS,C3,64
1983,3,6,72.462,FEM,C3,60
1984,11,1,12.597,MAS,E,60
1985,1,5,25.578,FEM,D,65
1986,5,2,21.14,MAS,C2,59
1987,3,1,1.31,MAS,C3,63
1988,2,9,129.941,FEM,D,62
1989,7,1,20.307,FEM,C3,64
1990,1,8,182.923,FEM,C3,63
1991,1,9,432.3,FEM,C3,66
1992,2,2,22.574,MAS,C3,64
1993,3,6,72.833,MAS,ABC1,58
1994,1,8,183.231,FEM,D,61
1995,4,2,19.181,FEM,E,68
1996,1,8,165.734,MAS,ABC1,56
1997,12,1,14.84,FEM,D,60
1998,1,12,297.612,MAS,ABC1,60
1999,1,12,247.516,MAS,C3,53
2000,2,7,264.275,FEM,E,64
2001,2,3,58.168,MAS,C2,63
2002,1,8,119.924,MAS,D,63
2003,2,2,24.961,FEM,D,63
2004,2,10,104.813,FEM,E,65
2005,5,1,2.68,FEM,D,66
2006,2,6,115.073,FEM,ABC1,57
2007,1,5,125.219,FEM,C3,59
2008,8,2,40.336,MAS,ABC1,63
2009,1,12,293.041,MAS,ABC1,66
2010,4,6,62.329,FEM,C3,66
2011,1,9,116.754,FEM,C2,64
2012,3,1,9.378,MAS,ABC1,64
2013,1,6,166.758,FEM,C2,64
2014,1,5,94.669,FEM,E,69
2015,1,11,426.018,FEM,C3,56
2016,7,1,6.546,MAS,E,61
2017,2,11,288.908,FEM,C3,62
2018,2,3,38.934,FEM,C2,64
2019,1,12,2190.85,FEM,C3,64
2020,1,11,1954.525,FEM,ABC1,64
2021,1,7,272.792,FEM,C3,63
2022,1,12,1006.556,FEM,C3,58
2023,1,4,102.489,FEM,ABC1,57
2024,2,8,190.865,FEM,C2,63
2025,1,11,160.197,MAS,C3,62
2026,1,8,59.482,MAS,ABC1,61
2027,5,2,10.8,MAS,C3,65
2028,5,3,38.71,FEM,C2,48
2029,1,9,93.818,FEM,C2,61
2030,1,9,159.074,MAS,C3,60
2031,7,3,19.283,MAS,D,60
2032,1,2,36.135,MAS,ABC1,58
2033,1,10,251.083,MAS,C3,65
2034,1,12,314.871,FEM,E,55
2035,2,2,60.599,FEM,E,66
2036,1,3,13.815,MAS,C3,61
2037,6,2,9.25,FEM,C2,55
2038,1,3,64.192,FEM,,64
2039,2,3,33.723,MAS,E,64
2040,1,12,1061.795,MAS,ABC1,61
2041,4,2,29.31,MAS,ABC1,59
2042,1,9,80.608,MAS,C2,58
2043,1,12,692.264,MAS,C3,66
2044,1,5,191.466,MAS,D,60
2045,10,3,26.818,MAS,E,60
2046,1,12,555.601,MAS,C3,62
2047,1,7,31.979,FEM,D,68
2048,1,9,85.531,MAS,D,60
2049,1,12,780.381,MAS,C3,59
2050,1,3,49.773,FEM,C2,61
2051,1,12,615.173,FEM,C3,69
2052,3,6,54.09,MAS,C2,61
2053,4,4,55.793,FEM,D,68
2054,1,5,35.34,FEM,C3,64
2055,1,4,62.962,FEM,D,67
2056,10,3,110.552,FEM,ABC1,63
2057,1,10,198.711,FEM,D,67
2058,11,2,19.815,FEM,D,68
2059,1,4,46.232,MAS,ABC1,66
2060,1,9,156.189,MAS,C3,64
2061,1,3,40.129,MAS,D,65
2062,1,9,194.703,FEM,D,67
2063,1,12,401.899,FEM,D,68
2064,1,11,299.051,FEM,E,61
2065,2,5,78.247,MAS,C3,65
2066,9,2,35.993,MAS,ABC1,62
2067,1,5,188.919,FEM,ABC1,60
2068,1,4,100.618,FEM,C3,64
2069,1,11,2497.687,MAS,ABC1,58
2070,1,9,247.087,MAS,ABC1,58
2071,1,10,195.41,FEM,C3,55
2072,1,7,214.996,FEM,ABC1,62
2073,3,2,29.142,MAS,E,62
2074,1,10,175.062,MAS,C3,59
2075,1,1,44.139,FEM,C3,61
2076,8,1,14.234,MAS,D,63
2077,1,2,7.538,MAS,E,62
2078,1,4,66.651,MAS,C3,47
2079,3,2,28.96,FEM,ABC1,53
2080,1,7,182.83,FEM,C3,50
2081,2,5,7.613,MAS,D,65
2082,2,2,9.218,MAS,C3,62
2083,1,10,205.704,MAS,D,65
2084,1,10,881.642,MAS,ABC1,61
2085,1,12,832.554,FEM,C3,57
2086,1,9,138.594,MAS,ABC1,57
2087,2,10,1292.618,FEM,ABC1,49
2088,3,4,51.176,MAS,D,55
2089,1,6,201.165,FEM,C2,51
2090,2,9,179.376,MAS,C3,64
2091,1,10,112.981,FEM,D,64
2092,5,1,58.575,MAS,C2,62
2093,1,5,141.731,FEM,C2,55
2094,1,8,71.722,MAS,D,63
2095,2,5,85.999,FEM,C3,61
2096,1,8,166.261,FEM,C2,55
2097,3,4,49.852,MAS,C3,60
2098,1,11,431.133,MAS,C3,65
2099,7,1,7.525,FEM,D,64
2100,1,10,251.38,MAS,C3,59
2101,1,10,583.371,FEM,C3,61
2102,2,7,445.864,FEM,ABC1,56
2103,2,5,423.368,MAS,ABC1,57
2104,1,5,56.745,MAS,C2,52
2105,1,2,25.83,FEM,D,55
2106,1,11,277.492,MAS,ABC1,55
2107,1,5,35.242,FEM,ABC1,60
2108,3,6,206.476,MAS,ABC1,57
2109,1,11,546.01,FEM,C3,52
2110,1,8,98.511,FEM,C3,63
2111,1,4,99.261,MAS,ABC1,54
2112,2,4,66.615,MAS,C3,58
2113,1,7,155.955,MAS,ABC1,61
2114,5,3,24.487,MAS,D,59
2115,3,2,17.168,FEM,C3,57
2116,2,7,102.265,MAS,D,60
2117,1,5,354.968,FEM,ABC1,52
2118,1,5,73.355,FEM,ABC1,60
2119,1,9,108.802,FEM,C2,54
2120,2,5,200.585,MAS,C3,61
2121,1,9,630.594,FEM,ABC1,60
2122,4,3,90.493,MAS,C3,65
2123,1,5,56.292,MAS,C2,64
2124,2,6,32.631,FEM,D,64
2125,1,2,23.78,FEM,D,63
2126,2,3,21.871,FEM,C3,64
2127,1,12,637.797,MAS,ABC1,58
2128,2,5,84.548,FEM,C2,57
2129,1,7,133.081,MAS,ABC1,59
2130,1,6,61.266,MAS,ABC1,59
2131,1,10,102.616,MAS,ABC1,63
2132,7,1,18.958,FEM,D,63
2133,1,7,97.764,FEM,E,66
2134,1,3,32.258,MAS,C3,60
2135,1,7,65.637,MAS,C3,58
2136,3,2,6.706,,,
2137,5,1,13.089,MAS,C3,61
2138,2,4,34.009,FEM,E,64
2139,5,6,67.432,FEM,C3,63
2140,1,9,226.442,FEM,D,63
2141,1,2,46.364,FEM,ABC1,61
2142,1,8,148.866,FEM,E,64
2143,11,1,3.593,MAS,C3,61
2144,1,1,5.608,MAS,C3,63
2145,1,1,5.958,FEM,D,60
2146,1,3,40.383,FEM,C3,62
2147,1,12,873.968,FEM,C3,64
2148,2,7,65.579,FEM,C3,53
2149,6,1,2.496,FEM,E,64
2150,2,9,647.373,FEM,E,64
2151,1,11,704.492,MAS,C2,62
2152,1,4,127.442,MAS,ABC1,61
2153,7,2,31.987,FEM,C3,59
2154,2,2,29.544,FEM,D,67
2155,7,2,14.503,MAS,D,60
2156,5,2,37.496,MAS,ABC1,61
2157,1,6,194.761,MAS,C3,65
2158,1,8,64.346,MAS,C3,61
2159,2,9,112.586,MAS,C3,60
2160,1,8,328.378,MAS,C2,62
2161,3,2,29.391,MAS,C3,60
2162,1,6,90.593,FEM,C3,66
2163,10,2,17.513,FEM,C3,65
2164,3,7,570.045,FEM,C3,59
2165,1,12,652.324,MAS,C3,63
2166,1,12,399.153,MAS,ABC1,65
2167,2,6,45.961,MAS,C3,64
2168,2,5,59.951,FEM,D,60
2169,1,5,52.815,FEM,D,66
2170,2,1,14.265,FEM,C3,74
2171,4,4,118.039,FEM,C3,63
2172,1,10,210.02,MAS,C3,64
2173,1,5,51.585,FEM,C3,66
2174,5,6,86.637,MAS,ABC1,59
2175,2,2,74.731,FEM,E,60
2176,1,5,131.966,MAS,ABC1,62
2177,1,12,459.817,MAS,C2,61
2178,1,12,443.505,FEM,C3,59
2179,7,2,25.891,MAS,ABC1,54
2180,1,10,564.571,FEM,ABC1,54
2181,1,7,122.046,MAS,E,61
2182,1,8,209.635,MAS,ABC1,62
2183,5,2,10.773,MAS,C3,62
2184,5,3,16.043,FEM,C3,63
2185,1,9,181.544,FEM,C3,64
2186,1,10,370.437,FEM,D,58
2187,1,3,244.99,FEM,ABC1,62
2188,4,3,17.655,MAS,D,60
2189,2,4,15.856,MAS,C3,61
2190,1,5,77.082,FEM,C3,59
2191,2,5,75.213,MAS,C3,61
2192,2,9,43.341,MAS,D,62
2193,1,12,265.17,MAS,C3,62
2194,1,12,714.434,FEM,D,63
2195,2,3,26.829,FEM,D,66
2196,1,4,56.11,MAS,,62
2197,1,1,11.465,FEM,D,60
2198,7,2,10.239,MAS,C3,62
2199,1,12,248.71,MAS,D,60
2200,3,2,9.798,MAS,C3,60
2201,1,2,21.019,FEM,C3,65
2202,1,2,12.513,FEM,E,65
2203,2,4,28.56,FEM,E,62
2204,1,4,40.783,FEM,D,66
2205,1,6,173.64,MAS,C3,62
2206,5,3,45.367,FEM,ABC1,63
2207,1,4,36.518,FEM,C3,65
2208,1,7,165.534,MAS,D,64
2209,1,5,32.197,FEM,C2,63
2210,1,7,162.399,MAS,D,62
2211,1,3,24.899,FEM,D,64
2212,1,8,94.645,FEM,E,64
2213,1,10,143.133,FEM,E,63
2214,1,2,28.14,FEM,C3,64
2215,11,1,1.504,FEM,C3,58
2216,1,6,390.957,FEM,ABC1,56
2217,4,9,248.382,MAS,C2,64
2218,1,11,292.013,MAS,C3,55
2219,1,8,74.808,MAS,C2,55
2220,1,8,162.136,FEM,C3,55
2221,1,12,422.335,MAS,D,58
2222,3,7,160.458,MAS,C3,56
2223,1,11,266.692,MAS,C3,56
2224,1,11,749.111,FEM,ABC1,51
2225,1,4,152.102,MAS,ABC1,55
2226,1,12,1954.344,MAS,C3,56
2227,2,3,12.739,MAS,E,58
2228,1,11,289.401,FEM,ABC1,50
2229,4,3,52.208,MAS,E,58
2230,1,9,98.239,FEM,C3,57
2231,4,2,15.958,FEM,ABC1,59
2232,1,5,63.494,FEM,C3,58
2233,8,3,58.659,FEM,C3,59
2234,1,7,108.431,MAS,C3,53
2235,2,11,318.649,MAS,D,53
2236,7,4,42.745,MAS,ABC1,47
2237,1,1,7.074,MAS,E,59
2238,4,3,14.706,MAS,D,57
2239,1,6,55.698,FEM,C3,55
2240,7,1,21.765,FEM,ABC1,57
2241,1,12,1197.141,MAS,D,57
2242,1,11,259.016,FEM,C2,55
2243,4,2,8.462,MAS,C3,49
2244,1,11,233.501,MAS,C3,51
2245,1,8,89.068,MAS,ABC1,52
2246,9,1,2.508,FEM,C3,55
2247,1,11,162.509,FEM,E,58
2248,1,2,16.028,MAS,C3,57
2249,1,12,501.568,FEM,C3,54
2250,3,9,207.282,FEM,C2,60
2251,1,1,6.926,MAS,C3,57
2252,1,12,461.261,MAS,C3,57
2253,1,4,186.276,FEM,ABC1,51
2254,5,6,363.807,FEM,ABC1,50
2255,9,1,7.042,FEM,E,60
2256,1,7,142.048,MAS,D,58
2257,1,8,208.378,FEM,ABC1,58
2258,2,5,73.04,FEM,C3,53
2259,11,1,6,FEM,E,57
2260,7,2,14.276,MAS,C3,52
2261,9,1,17.892,FEM,D,66
2262,1,2,24.959,FEM,E,56
2263,4,8,86.936,FEM,C3,57
2264,8,1,3.471,FEM,C3,54
2265,1,5,73.47,MAS,E,55
2266,10,1,20.697,FEM,E,56
2267,3,1,9.909,FEM,C3,60
2268,1,7,70.689,FEM,E,56
2269,1,2,10.118,MAS,C3,58
2270,1,7,302.069,FEM,C3,56
2271,1,3,63.885,FEM,D,55
2272,1,5,268.216,FEM,ABC1,56
2273,10,2,65.059,FEM,D,53
2274,2,3,65.897,MAS,E,57
2275,1,12,1240.299,FEM,C3,59
2276,2,5,75.159,MAS,ABC1,53
2277,11,1,3.353,MAS,C3,57
2278,4,1,3.101,MAS,C3,55
2279,2,9,222.614,FEM,C3,42
2280,1,8,231.417,MAS,C3,57
2281,3,1,17.63,MAS,C3,42
2282,3,5,66.573,MAS,E,58
2283,3,2,9.866,MAS,C3,59
2284,1,2,21.185,MAS,ABC1,57
2285,1,11,479.831,FEM,C3,54
2286,6,5,62.632,MAS,D,58
2287,4,1,69.132,FEM,E,57
2288,3,3,28.664,FEM,C3,55
2289,2,3,21.108,FEM,D,57
2290,3,4,37.208,MAS,ABC1,55
2291,2,7,56.857,FEM,ABC1,61
2292,1,6,90.764,FEM,D,54
2293,1,9,97.292,MAS,C3,53
2294,1,11,225.726,MAS,C3,55
2295,1,10,296.579,FEM,C3,57
2296,1,6,97.591,FEM,E,62
2297,3,6,122.869,FEM,D,59
2298,2,10,987.892,MAS,C3,46
2299,1,12,783.679,FEM,C3,54
2300,6,2,25.732,MAS,D,57
2301,3,1,22.479,MAS,E,58
2302,1,6,43.992,FEM,ABC1,57
2303,2,2,7.614,FEM,E,58
2304,1,7,48.28,FEM,D,58
2305,1,12,412.486,FEM,D,53
2306,2,4,43.971,MAS,D,58
2307,3,2,12.819,MAS,C2,44
2308,1,5,54.236,MAS,ABC1,54
2309,1,9,78.996,FEM,C2,55
2310,6,3,17.622,FEM,E,57
2311,1,2,47.661,MAS,C3,53
2312,1,12,618.622,MAS,E,58
2313,1,11,106.494,FEM,ABC1,56
2314,1,7,87.136,FEM,C2,53
2315,1,2,35.393,FEM,C3,58
2316,4,5,28.995,MAS,D,58
2317,12,1,4.193,MAS,C3,56
2318,1,12,1296.239,MAS,ABC1,46
2319,1,12,729.576,FEM,C3,48
2320,6,6,67.975,FEM,E,58
2321,2,2,29.304,MAS,D,41
2322,4,1,14.824,FEM,ABC1,57
2323,1,11,141.492,FEM,E,59
2324,1,3,30.203,FEM,,55
2325,1,12,236.601,FEM,D,54
2326,1,3,61.901,FEM,ABC1,57
2327,2,11,503.999,MAS,C3,57
2328,1,9,76.071,FEM,C3,58
2329,1,2,64.648,MAS,C3,55
2330,1,12,692.577,MAS,C2,58
2331,2,4,42.351,MAS,C3,55
2332,2,7,26.733,FEM,E,57
2333,2,8,162.687,FEM,E,59
2334,5,2,14.79,MAS,C2,56
2335,2,6,71.797,FEM,C3,55
2336,1,11,165.797,FEM,E,46
2337,1,12,278.505,MAS,C3,56
2338,1,6,59.908,MAS,E,57
2339,1,11,692.158,FEM,C2,57
2340,1,4,90.8,MAS,E,57
2341,2,3,68.156,FEM,D,59
2342,1,8,161.412,FEM,D,47
2343,6,3,26.773,FEM,C3,60
2344,1,3,16.431,MAS,E,54
2345,3,1,3.519,MAS,D,57
2346,1,10,482.448,MAS,C3,55
2347,8,2,4.766,MAS,D,58
2348,3,4,31.746,FEM,D,52
2349,1,8,107.908,FEM,ABC1,56
2350,1,4,14.639,MAS,C3,58
2351,1,11,461.162,MAS,C3,58
2352,1,8,111.482,MAS,ABC1,44
2353,11,1,1.925,MAS,D,59
2354,1,7,74.571,FEM,D,56
2355,1,10,316.539,FEM,D,55
2356,1,4,39.344,MAS,D,55
2357,2,7,138.807,FEM,D,53
2358,1,3,11.36,FEM,C3,56
2359,1,4,55.682,MAS,C3,56
2360,1,9,209.354,FEM,C3,56
2361,8,2,7.415,MAS,C3,55
2362,1,9,192.459,FEM,C3,56
2363,1,1,29.771,MAS,C3,57
2364,5,1,1.84,FEM,C3,57
2365,1,12,374.215,FEM,C3,74
2366,6,1,9.235,FEM,C3,57
2367,1,9,225.926,MAS,D,57
2368,2,9,124.597,MAS,D,53
2369,1,1,1.168,MAS,C3,57
2370,1,12,994.387,MAS,ABC1,48
2371,2,7,92.184,FEM,C3,56
2372,4,7,192.78,FEM,D,57
2373,1,8,125.299,FEM,C2,56
2374,1,4,115.698,FEM,E,57
2375,1,1,16.421,FEM,D,57
2376,1,12,484.847,FEM,ABC1,53
2377,4,1,20.21,FEM,C2,49
2378,2,4,54.534,FEM,C3,57
2379,2,3,44.223,FEM,C3,58
2380,12,1,2.063,FEM,C3,55
2381,3,8,179.965,FEM,C3,57
2382,1,9,275.202,FEM,D,60
2383,8,2,36.818,MAS,C3,57
2384,1,5,46.652,MAS,C3,44
2385,1,12,1802.278,FEM,E,57
2386,4,4,57.413,FEM,C3,57
2387,6,1,8.387,FEM,D,59
2388,2,7,69.225,MAS,D,54
2389,4,1,11.084,FEM,E,57
2390,1,12,423.115,FEM,C3,57
2391,6,4,69.526,MAS,C3,54
2392,2,1,12.561,MAS,C3,56
2393,12,1,5.866,MAS,ABC1,63
2394,1,9,170.082,FEM,C3,52
2395,8,2,38.25,FEM,C2,51
2396,1,4,41.949,FEM,E,56
2397,1,8,41.934,MAS,D,57
2398,3,4,19.338,MAS,C3,55
2399,1,2,20.377,FEM,D,57
2400,1,6,159.728,FEM,C3,56
2401,4,3,29.366,MAS,C3,56
2402,1,4,37.692,FEM,D,58
2403,9,1,3.092,FEM,C3,54
2404,7,1,2.588,FEM,C3,51
2405,2,3,4.546,FEM,E,59
2406,1,3,8.958,MAS,C3,56
2407,1,3,57.055,FEM,D,59
2408,1,8,64.535,MAS,E,42
2409,1,4,24.371,FEM,C3,50
2410,1,10,73.482,FEM,D,59
2411,1,5,26.898,MAS,C3,51
2412,1,10,216.612,FEM,E,43
2413,2,4,69.91,MAS,ABC1,45
2414,1,9,289.751,MAS,C2,49
2415,1,1,5.157,FEM,C3,58
2416,2,9,98.435,MAS,C3,40
2417,2,2,46.435,FEM,C3,53
2418,1,10,263.733,FEM,ABC1,50
2419,1,10,262.018,FEM,C3,57
2420,1,8,238.227,FEM,C3,56
2421,1,10,162.787,MAS,ABC1,56
2422,1,2,39.187,FEM,D,55
2423,2,4,44.524,FEM,E,57
2424,1,6,168.4,FEM,E,56
2425,1,5,78.82,MAS,C3,56
2426,12,1,17.79,MAS,D,58
2427,3,3,36.129,MAS,D,56
2428,6,1,2.185,MAS,D,56
2429,2,5,49.008,FEM,C3,58
2430,1,5,418.734,FEM,E,58
2431,3,6,77.822,MAS,C2,52
2432,1,6,163.416,MAS,C3,56
2433,1,8,131.451,MAS,C3,56
2434,6,2,60.674,FEM,E,55
2435,2,6,68.611,MAS,C3,54
2436,4,1,5.017,FEM,C3,56
2437,1,4,187.405,MAS,C2,55
2438,1,4,115.047,MAS,ABC1,49
2439,1,11,271.804,MAS,ABC1,51
2440,4,3,17.43,FEM,D,57
2441,2,3,75.698,FEM,C3,58
2442,1,1,46.513,FEM,C2,56
2443,6,2,11.701,MAS,E,54
2444,5,1,11.431,MAS,D,55
2445,12,1,25.009,FEM,D,58
2446,1,12,477.124,FEM,C3,57
2447,10,1,8.395,MAS,C3,57
2448,2,3,12.751,FEM,E,52
2449,1,7,113.312,FEM,E,56
2450,1,12,810.35,MAS,C3,56
2451,1,4,18.979,MAS,ABC1,54
2452,1,12,818.146,MAS,C3,53
2453,3,4,13.469,FEM,C3,54
2454,1,11,146.742,FEM,D,46
2455,1,11,463.633,FEM,C2,40
2456,4,7,76.371,MAS,D,55
2457,1,3,34.234,FEM,D,54
2458,1,11,230.726,MAS,C3,52
2459,1,12,314.142,MAS,C3,51
2460,1,12,220.285,FEM,C3,54
2461,1,10,117.582,MAS,D,54
2462,1,12,241.359,MAS,D,50
2463,3,2,24.252,FEM,C3,56
2464,1,11,172.909,MAS,D,52
2465,1,7,189.383,FEM,C3,53
2466,1,5,67.508,FEM,C3,55
2467,1,3,103.613,FEM,C3,65
2468,1,1,24.06,FEM,C3,49
2469,2,2,40.049,MAS,E,53
2470,1,8,109.688,FEM,C3,56
2471,1,12,922.726,FEM,C3,54
2472,1,8,95.465,MAS,D,56
2473,12,1,5.748,MAS,C3,53
2474,3,6,74.28,MAS,D,57
2475,3,3,12.618,MAS,D,57
2476,1,1,0.922,FEM,C3,60
2477,1,3,66.034,MAS,D,56
2478,1,5,71.908,MAS,C3,57
2479,3,6,56.104,MAS,ABC1,55
2480,1,9,161.771,FEM,E,55
2481,1,9,222.45,MAS,C3,55
2482,1,9,148.045,FEM,E,54
2483,2,5,31.58,MAS,C3,57
2484,1,8,238.039,FEM,C2,53
2485,1,9,106.534,MAS,ABC1,54
2486,1,8,146.582,MAS,C2,42
2487,1,6,68.069,FEM,D,58
2488,1,10,99.626,MAS,D,54
2489,1,1,6.164,MAS,ABC1,55
2490,2,6,165.522,FEM,C2,51
2491,1,2,6.59,MAS,D,57
2492,2,6,131.642,FEM,ABC1,48
2493,1,2,41.118,MAS,C3,55
2494,11,1,1.513,FEM,D,57
2495,1,11,434.697,MAS,C3,55
2496,1,6,130.308,MAS,C3,54
2497,1,12,335.184,FEM,C3,57
2498,3,8,108.063,MAS,C3,56
2499,12,1,9.992,MAS,C3,56
2500,2,3,40.85,MAS,C3,57
2501,1,12,598.192,MAS,D,54
2502,2,6,191.685,MAS,D,56
2503,2,1,1.301,MAS,D,57
2504,1,10,187.469,MAS,C3,55
2505,4,3,18.917,MAS,C2,53
2506,1,7,92.028,FEM,D,53
2507,1,5,70.996,FEM,ABC1,51
2508,1,6,66.323,MAS,C3,54
2509,5,2,2.672,MAS,C3,56
2510,1,9,412.954,MAS,C3,55
2511,1,12,856.613,MAS,E,54
2512,1,11,78.167,FEM,D,55
2513,1,12,1043.549,MAS,ABC1,53
2514,4,2,17.64,MAS,C3,56
2515,2,1,9.632,FEM,C3,53
2516,1,12,736.832,FEM,ABC1,57
2517,1,12,813.504,FEM,D,54
2518,1,12,706.838,FEM,D,56
2519,1,3,77.313,FEM,ABC1,52
2520,2,2,36.353,FEM,E,56
2521,1,8,247.217,MAS,D,54
2522,2,2,12.362,FEM,E,55
2523,2,9,617.713,FEM,D,54
2524,1,7,158.738,MAS,D,54
2525,2,11,120.352,FEM,C3,53
2526,2,10,280.457,FEM,C3,40
2527,2,2,54.928,FEM,C3,37
2528,3,4,104.409,MAS,C3,50
2529,1,1,14.045,MAS,E,54
2530,3,2,6.025,FEM,ABC1,55
2531,2,2,7.8,FEM,C3,57
2532,1,8,316.009,FEM,C3,52
2533,1,4,42.855,MAS,ABC1,54
2534,2,10,110.676,FEM,D,52
2535,12,1,1.092,MAS,E,53
2536,3,4,51.648,FEM,D,56
2537,1,7,176.9,MAS,D,55
2538,3,7,77.289,MAS,C2,52
2539,1,12,318.439,FEM,C3,54
2540,3,1,2.564,FEM,C3,56
2541,11,1,12.026,FEM,E,55
2542,1,6,125.308,FEM,,54
2543,1,6,87.955,MAS,C3,49
